date,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,edge,ev,bookmaker,bookmaker_title,commence_time
2025-10-14,1626164.0,Devin Booker,PHX,pts,OVER,24.5,215,0.31746031746031744,0.4612873831384725,0.14382706567815506,0.4530552568861883,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1642270.0,Donovan Clingan,POR,pts,OVER,14.5,725,0.12121212121212122,0.26439070506741036,0.14317858385528914,1.1812233168061355,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1627750.0,Jamal Murray,DEN,pts,OVER,24.5,575,0.14814814814814814,0.2894559418475454,0.14130779369939728,0.9538276074709316,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,1631101.0,Shaedon Sharpe,POR,pts,OVER,9.5,-500,0.8333333333333334,0.9717142858662704,0.13838095253293703,0.16605714303952449,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1630598.0,Aaron Wiggins,OKC,pts,OVER,24.5,2200,0.043478260869565216,0.1785729840100394,0.1350947231404742,3.107178632230906,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1626164.0,Devin Booker,PHX,pts,OVER,19.5,-140,0.5833333333333334,0.7154833320379894,0.13214999870465605,0.22654285492226756,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1641709.0,Ausar Thompson,DET,pts,OVER,19.5,1400,0.06666666666666667,0.1869073235845944,0.12024065691792772,1.8036098537689158,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,1630559.0,Austin Reaves,LAL,pts,OVER,19.5,105,0.4878048780487805,0.6064654983988855,0.11866062035010505,0.2432542717177154,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1630559.0,Austin Reaves,LAL,pts,OVER,24.5,340,0.22727272727272727,0.3458503826252668,0.11857765535253953,0.5217416835511739,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,201142.0,Kevin Durant,PHX,pts,OVER,19.5,105,0.4878048780487805,0.600936515518122,0.11313163746934152,0.2319198568121501,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1626171.0,Bobby Portis,MIL,pts,OVER,14.5,145,0.40816326530612246,0.5194076963525668,0.11124443104644433,0.27254885606378865,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1641764.0,Brandin Podziemski,GSW,pts,OVER,24.5,1600,0.058823529411764705,0.1695299922248299,0.11070646281306519,1.8820098678221082,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,203932.0,Aaron Gordon,DEN,pts,OVER,9.5,-275,0.7333333333333333,0.8429092815309173,0.10957594819758398,0.14942174754215992,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,1630559.0,Austin Reaves,LAL,pts,OVER,14.5,-260,0.7222222222222222,0.8255654905758463,0.10334326835362406,0.1430906792588641,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1629645.0,Kevin Porter Jr.,MIL,pts,OVER,24.5,1600,0.058823529411764705,0.16107236741179265,0.10224883800002794,1.738230246000475,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1631095.0,Jabari Smith,HOU,pts,OVER,14.5,280,0.2631578947368421,0.3646827283426348,0.10152483360579273,0.38579436770201236,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,203507.0,Giannis Antetokounmpo,MIL,pts,OVER,39.5,4500,0.021739130434782608,0.1197853187212714,0.0980461882864888,4.5101246611784855,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1641739.0,Toumani Camara,POR,pts,OVER,9.5,-130,0.5652173913043478,0.6619970205918015,0.09677962928745376,0.17122549797011044,bovada,Bovada,2025-10-15T02:00:00+00:00
