player_id,player_name,team_ls,team_box,team_on_slate,injury_status,match
1630201,Malachi Flynn,,,False,,False
1631323,Simone Fontecchio,MIA,DET,False,,False
1628368,De'Aaron Fox,SAS,SAC,False,,False
1642402,Enrique Freeman,MIN,IND,True,,False
1628365,Markelle Fultz,SAC,,True,,False
1642277,Johnny Furphy,IND,IND,True,,True
1629655,Daniel Gafford,DAL,,False,,False
1629636,Darius Garland,CLE,CLE,True,,True
1630585,Marcus Garrett,,,False,,False
1630568,Luka Garza,BOS,MIN,True,,False
1641718,Keyonte George,UTA,,False,,False
1642273,Kyshawn George,WAS,,False,,False
202331,Paul George,PHI,,False,,False
201959,Taj Gibson,CHA,CHA,True,,True
1630581,Josh Giddey,CHI,CHI,True,,True
1628983,Shai Gilgeous-Alexander,OKC,OKC,True,,True
1630264,Anthony Gill,WAS,,False,,False
1631221,Collin Gillespie,PHX,,False,,False
203497,Rudy Gobert,MIN,MIN,True,,True
1630692,Jordan Goodwin,PHX,,False,,False
203932,Aaron Gordon,DEN,DEN,True,,True
201569,Eric Gordon,PHI,,False,,False
1641789,Jazian Gortman,,,False,,False
203924,Jerami Grant,POR,POR,True,,True
1631260,AJ Green,MIL,,False,,False
203110,Draymond Green,GSW,,False,,False
1630224,Jalen Green,PHX,,False,,False
1629750,Javonte Green,DET,NOP,True,,False
201145,Jeff Green,HOU,,False,,False
1630182,Josh Green,CHA,CHA,True,,True
1629656,Quentin Grimes,PHI,,False,,False
1631243,Mouhamed Gueye,ATL,ATL,True,,True
1629060,Rui Hachimura,LAL,LAL,True,,True
1630169,Tyrese Haliburton,IND,IND,True,,True
1641790,PJ Hall,MEM,,False,,False
203501,Tim Hardaway Jr.,DEN,DET,True,,False
201935,James Harden,LAC,,False,,False
1630702,Jaden Hardy,DAL,,False,,False
1641989,Elijah Harkless,UTA,,False,,False
1631199,Ron Harper Jr.,BOS,,True,,False
203914,Gary Harris,MIL,ORL,False,,False
202699,Tobias Harris,PHI,DET,False,,False
1628404,Josh Hart,NYK,NYK,True,,True
1628392,Isaiah Hartenstein,OKC,,True,,False
1630573,Sam Hauser,BOS,BOS,True,,True
1641722,Jordan Hawkins,NOP,NOP,True,,True
1629637,Jaxson Hayes,LAL,LAL,True,,True
1630165,Killian Hayes,,,False,,False
1630703,Scoot Henderson,POR,POR,True,,True
1641707,Taylor Hendricks,UTA,,False,,False
1629639,Tyler Herro,MIA,,False,,False
1627741,Buddy Hield,GSW,,False,,False
1629312,Haywood Highsmith,BKN,,True,,False
1628988,Aaron Holiday,HOU,,False,,False
201950,Jrue Holiday,POR,BOS,True,,False
1641842,Ronald Holland II,DET,DET,True,,True
1626158,Richaun Holmes,WAS,,False,,False
1631096,Chet Holmgren,OKC,OKC,True,,True
1641720,Jalen Hood-Schifino,PHI,,False,,False
201143,Al Horford,GSW,,False,,False
1629659,Talen Horton-Tucker,CHI,CHI,True,,True
1631216,Caleb Houstan,ATL,ORL,True,,False
1641724,Jett Howard,ORL,ORL,True,,True
1628989,Kevin Huerter,CHI,SAC,True,,False
1630643,Jay Huff,IND,,True,,False
1630574,Ariel Hukporti,NYK,NYK,True,,True
1629631,De'Andre Hunter,CLE,,True,,False
1630538,Bones Hyland,MIN,,True,,False
1642345,Oso Ighodaro,PHX,,False,,False
204060,Joe Ingles,MIN,MIN,True,,True
1627742,Brandon Ingram,TOR,NOP,True,,False
1631127,Harrison Ingram,SAS,,False,,False
202681,Kyrie Irving,DAL,,False,,False
1628371,Jonathan Isaac,ORL,ORL,True,,True
1631093,Jaden Ivey,DET,DET,True,,True
1641713,GG Jackson,MEM,,False,,False
1630543,Isaiah Jackson,IND,IND,True,,True
1631245,Quenton Jackson,IND,IND,True,,True
202704,Reggie Jackson,,,False,,False
1641748,Andre Jackson Jr.,MIL,,False,,False
1628991,Jaren Jackson Jr.,MEM,,False,,False
1631218,Trayce Jackson-Davis,GSW,,False,,False
1642355,Bronny James,LAL,LAL,True,,True
2544,LeBron James,LAL,LAL,True,,True
1631170,Jaime Jaquez Jr.,MIA,,False,,False
1629610,DaQuan Jeffries,CHA,,True,,False
1641998,Trey Jemison III,NYK,NOP,True,,False
1642450,Daniss Jenkins,DET,DET,True,,True
1629660,Ty Jerome,MEM,CLE,False,,False
1630198,Isaiah Joe,OKC,OKC,True,,True
1642358,AJ Johnson,WAS,,False,,False
1629661,Cameron Johnson,DEN,BKN,True,,False
1630552,Jalen Johnson,ATL,ATL,True,,True
201949,James Johnson,IND,IND,True,,True
1629640,Keldon Johnson,SAS,,False,,False
1630553,Keon Johnson,BKN,BKN,True,,True
1642352,Keshad Johnson,MIA,,False,,False
203999,Nikola Jokić,DEN,DEN,True,,True
1641732,Colby Jones,DET,SAC,True,,False
1641794,Dillon Jones,OKC,OKC,True,,True
1630529,Herbert Jones,NOP,,True,,False
1642403,Isaac Jones,SAC,SAC,True,,True
1630539,Kai Jones,DAL,,False,,False
1630222,Mason Jones,SAC,,True,,False
1642461,Spencer Jones,DEN,,True,,False
1630200,Tre Jones,CHI,,True,,False
1626145,Tyus Jones,ORL,,True,,False
1627884,Derrick Jones Jr.,LAC,,False,,False
201599,DeAndre Jordan,NOP,DEN,True,,False
202709,Cory Joseph,ORL,ORL,True,,True
1631107,Nikola Jović,MIA,,False,,False
1630548,Johnny Juzang,MIN,,True,,False
