date,game_id,home,away,side,team,n_sims,player_id,player_name,split_type,split,pts_p10,pts_p50,pts_p90,reb_p10,reb_p50,reb_p90,ast_p10,ast_p50,ast_p90,threes_p10,threes_p50,threes_p90
2026-03-26,,CHA,NYK,away,NYK,2000,1630631,Jose Alvarado,quarter,q1,0.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1630631,Jose Alvarado,quarter,q2,0.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1630631,Jose Alvarado,quarter,q3,0.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1630631,Jose Alvarado,quarter,q4,0.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1630574,Ariel Hukporti,quarter,q1,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1630574,Ariel Hukporti,quarter,q2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1630574,Ariel Hukporti,quarter,q3,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1630574,Ariel Hukporti,quarter,q4,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1631110,Jeremy Sochan,quarter,q1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1631110,Jeremy Sochan,quarter,q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1631110,Jeremy Sochan,quarter,q3,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1631110,Jeremy Sochan,quarter,q4,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1641794,Dillon Jones,quarter,q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
