date,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team
2025-11-21,1629611.0,Terance Mann,BKN,pts,OVER,9.5,-105,0.5121951219512195,0.7807924317898991,0.2685973098386796,0.524404271589803,betonlineag,BetOnline.ag,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1628978.0,Donte DiVincenzo,MIN,pts,OVER,15.5,160,0.38461538461538464,0.6527650911154762,0.26814970650009157,0.6971892369002383,bovada,Bovada,2025-11-22T02:10:00Z,Phoenix Suns,Minnesota Timberwolves
2025-11-21,1630581.0,Josh Giddey,CHI,pts,OVER,20.5,-112,0.5283018867924528,0.7941487665134963,0.2658468797210435,0.5032101651862609,fanduel,FanDuel,2025-11-22T01:10:00Z,Chicago Bulls,Miami Heat
2025-11-21,1642345.0,Oso Ighodaro,PHX,pts,OVER,4.5,-135,0.574468085106383,0.8401516738414694,0.26568358873508635,0.4624862470573726,bovada,Bovada,2025-11-22T02:10:00Z,Phoenix Suns,Minnesota Timberwolves
2025-11-21,1642962.0,Drake Powell,BKN,pts,OVER,6.5,-105,0.5121951219512195,0.7757168963326743,0.26352177438145474,0.5144948928399831,betmgm,BetMGM,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1642962.0,Drake Powell,BKN,pts,OVER,6.5,-105,0.5121951219512195,0.7757168963326743,0.26352177438145474,0.5144948928399831,fanatics,Fanatics,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1629611.0,Terance Mann,BKN,pts,OVER,9.5,-108,0.5192307692307693,0.7807924317898991,0.2615616625591298,0.5037483871509167,fanduel,FanDuel,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1629611.0,Terance Mann,BKN,pts,OVER,9.5,-108,0.5192307692307693,0.7807924317898991,0.2615616625591298,0.5037483871509167,williamhill_us,Caesars,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1630581.0,Josh Giddey,CHI,pts,OVER,20.5,-114,0.5327102803738317,0.7941487665134963,0.2614384861396646,0.49077049152533514,betonlineag,BetOnline.ag,2025-11-22T01:10:00Z,Chicago Bulls,Miami Heat
2025-11-21,1630581.0,Josh Giddey,CHI,pts,OVER,20.5,-115,0.5348837209302325,0.7941487665134963,0.2592650455832638,0.4847129113078409,fanatics,Fanatics,2025-11-22T01:10:00Z,Chicago Bulls,Miami Heat
2025-11-21,1630549.0,Day'Ron Sharpe,BKN,pts,OVER,6.5,105,0.4878048780487805,0.7459980969838403,0.25819321893505986,0.5292960988168728,fanatics,Fanatics,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
