player,team,plays,ladders,model,_plays_list,top_play,top_play_explain,top_play_baseline,top_play_reasons,top_play_consensus,top_play_line_adv
Drew Eubanks,SAC,[],[],"{'pts': 12.155826568603516, 'reb': 4.422238826751709, 'ast': 2.0371060371398926, 'threes': 0.9408161044120787, 'pra': 18.61517143249512}",[],,,,[],0.0,0.0
Duncan Robinson,DET,[],[],"{'pts': 12.45004408448628, 'reb': 2.9751553535461426, 'ast': 2.951141145607277, 'threes': 1.917374344433055, 'pra': 18.3763405836397}",[],,,,[],0.0,0.0
Dylan Harper,SAS,[],[],"{'pts': 14.598210324473303, 'reb': 4.682184219360352, 'ast': 4.035909175872803, 'threes': 1.3789364077588746, 'pra': 23.31630371970646}",[],,,,[],0.0,0.0
Evan Mobley,CLE,[],[],"{'pts': 14.44948387145996, 'reb': 7.424836158752441, 'ast': 2.94875431060791, 'threes': 0.8046380877494812, 'pra': 24.823074340820312}",[],,,,[],0.0,0.0
GG Jackson,MEM,[],[],"{'pts': 14.735769984931276, 'reb': 5.370856686468668, 'ast': 2.099279516036727, 'threes': 1.8409368147987808, 'pra': 22.20590618743667}",[],,,,[],0.0,0.0
Garrett Temple,TOR,[],[],"{'pts': 10.39917278289795, 'reb': 3.870900630950928, 'ast': 2.243861198425293, 'threes': 0.9230677485466005, 'pra': 16.51393461227417}",[],,,,[],0.0,0.0
Gary Harris,MIL,[],[],"{'pts': 8.719850540161133, 'reb': 3.9360618591308594, 'ast': 2.302574157714844, 'threes': 0.5769621729850769, 'pra': 14.958486557006836}",[],,,,[],0.0,0.0
Gary Payton II,GSW,[],[],"{'pts': 15.516034987682898, 'reb': 4.555944919586182, 'ast': 2.4768285751342773, 'threes': 2.18796314678472, 'pra': 22.54880848240336}",[],,,,[],0.0,0.0
Gary Trent Jr.,MIL,[],[],"{'pts': 8.307456970214844, 'reb': 2.965440034866333, 'ast': 2.55429744720459, 'threes': 0.5632022137411625, 'pra': 13.827194452285768}",[],,,,[],0.0,0.0
Gradey Dick,TOR,[],[],"{'pts': 9.855005704439604, 'reb': 4.207403659820557, 'ast': 1.6373270750045776, 'threes': 0.8569138330571792, 'pra': 15.699736439264738}",[],,,,[],0.0,0.0
Gui Santos,GSW,[],[],"{'pts': 15.793411254882812, 'reb': 4.834664344787598, 'ast': 3.491002559661865, 'threes': 1.5450551509857178, 'pra': 24.119078159332275}",[],,,,[],0.0,0.0
Harrison Barnes,SAS,[],[],"{'pts': 7.146595244501022, 'reb': 2.7026400566101074, 'ast': 2.1028895061982524, 'threes': 0.9623924435616712, 'pra': 11.952124807309382}",[],,,,[],0.0,0.0
Harrison Ingram,SAS,[],[],"{'pts': 11.086747169494627, 'reb': 4.0671892166137695, 'ast': 2.076401710510254, 'threes': 0.9449768662452698, 'pra': 17.230338096618652}",[],,,,[],0.0,0.0
Hugo González,BOS,[],[],"{'pts': 6.74967092626235, 'reb': 4.661623954772949, 'ast': 1.0597047083837945, 'threes': 0.3213071588810507, 'pra': 12.470999589419094}",[],,,,[],0.0,0.0
Hunter Tyson,DEN,[],[],"{'pts': 9.628660202026367, 'reb': 4.865059852600098, 'ast': 2.2061009407043457, 'threes': 0.7852022051811218, 'pra': 16.69982099533081}",[],,,,[],0.0,0.0
Immanuel Quickley,TOR,[],[],"{'pts': 16.22859001159668, 'reb': 3.393425941467285, 'ast': 3.9936790466308594, 'threes': 2.6167006492614746, 'pra': 23.615694999694824}",[],,,,[],0.0,0.0
Isaiah Crawford,HOU,[],[],"{'pts': 9.699783325195312, 'reb': 3.108368396759033, 'ast': 1.4241186380386353, 'threes': 1.6418213844299316, 'pra': 14.23227035999298}",[],,,,[],0.0,0.0
