start,end,sort_by,top_n_per_day,top_n_per_game,min_ev,min_edge,bookmaker,dedupe_best_book,include_dd_td,include_stats,exclude_stats,bets_total,bets_graded,wins,losses,pushes,hit_rate,profit,roi_per_bet
2025-12-25,2026-01-23,ev,5,,0.5,0.02,,True,False,threes,,121,120,45,75,0,0.375,7.719999999999999,0.06433333333333333
2025-12-25,2026-01-23,ev,12,,,0.04,,True,False,,,360,354,129,225,0,0.3644067796610169,7.119999999999992,0.020112994350282465
2025-12-25,2026-01-23,ev,12,,,,,True,False,,,360,354,129,225,0,0.3644067796610169,7.119999999999992,0.020112994350282465
2025-12-25,2026-01-23,ev,12,,,0.02,,True,False,,,360,354,129,225,0,0.3644067796610169,7.119999999999992,0.020112994350282465
2025-12-25,2026-01-23,ev,5,,0.5,0.02,,True,False,"reb,threes",,130,127,46,81,0,0.36220472440944884,7.099999999999998,0.05590551181102361
2025-12-25,2026-01-23,ev,5,,0.5,0.04,,True,False,"reb,threes",,130,127,46,81,0,0.36220472440944884,7.099999999999998,0.05590551181102361
2025-12-25,2026-01-23,ev,5,,0.5,,,True,False,"reb,threes",,130,127,46,81,0,0.36220472440944884,7.099999999999998,0.05590551181102361
2025-12-25,2026-01-23,edge,8,,0.5,0.04,,True,False,"pts,reb,threes",,210,205,79,126,0,0.3853658536585366,6.934837678940298,0.0338284764826356
2025-12-25,2026-01-23,edge,8,,0.5,0.02,,True,False,"pts,reb,threes",,210,205,79,126,0,0.3853658536585366,6.934837678940298,0.0338284764826356
2025-12-25,2026-01-23,edge,8,,0.5,,,True,False,"pts,reb,threes",,210,205,79,126,0,0.3853658536585366,6.934837678940298,0.0338284764826356
2025-12-25,2026-01-23,ev,5,,,0.04,,True,False,,,150,146,52,94,0,0.3561643835616438,6.159999999999998,0.042191780821917796
2025-12-25,2026-01-23,ev,5,,,0.02,,True,False,,,150,146,52,94,0,0.3561643835616438,6.159999999999998,0.042191780821917796
2025-12-25,2026-01-23,ev,5,,,,,True,False,,,150,146,52,94,0,0.3561643835616438,6.159999999999998,0.042191780821917796
2025-12-25,2026-01-23,edge,5,,,,,True,False,"pts,reb,threes",,150,149,57,92,0,0.3825503355704698,6.0306307399765355,0.04047403181192306
2025-12-25,2026-01-23,edge,5,,,0.02,,True,False,"pts,reb,threes",,150,149,57,92,0,0.3825503355704698,6.0306307399765355,0.04047403181192306
2025-12-25,2026-01-23,edge,5,,,0.04,,True,False,"pts,reb,threes",,150,149,57,92,0,0.3825503355704698,6.0306307399765355,0.04047403181192306
2025-12-25,2026-01-23,edge,5,,0.5,,,True,False,"pts,threes",,136,135,51,84,0,0.37777777777777777,5.597963582572535,0.0414663969079447
2025-12-25,2026-01-23,edge,5,,0.5,0.02,,True,False,"pts,threes",,136,135,51,84,0,0.37777777777777777,5.597963582572535,0.0414663969079447
2025-12-25,2026-01-23,edge,5,,0.5,0.04,,True,False,"pts,threes",,136,135,51,84,0,0.37777777777777777,5.597963582572535,0.0414663969079447
2025-12-25,2026-01-23,ev,5,,,0.02,,True,False,"reb,threes",,150,147,53,94,0,0.36054421768707484,5.149999999999999,0.035034013605442164
2025-12-25,2026-01-23,ev,5,,,0.04,,True,False,"reb,threes",,150,147,53,94,0,0.36054421768707484,5.149999999999999,0.035034013605442164
2025-12-25,2026-01-23,ev,5,,,,,True,False,"reb,threes",,150,147,53,94,0,0.36054421768707484,5.149999999999999,0.035034013605442164
2025-12-25,2026-01-23,edge,5,,0.5,,,True,False,"pts,reb,threes",,137,136,51,85,0,0.375,5.000630739976536,0.03676934367629806
2025-12-25,2026-01-23,edge,5,,0.5,0.02,,True,False,"pts,reb,threes",,137,136,51,85,0,0.375,5.000630739976536,0.03676934367629806
2025-12-25,2026-01-23,edge,5,,0.5,0.04,,True,False,"pts,reb,threes",,137,136,51,85,0,0.375,5.000630739976536,0.03676934367629806
2025-12-25,2026-01-23,edge,12,,0.5,0.02,,True,False,"reb,threes",,244,233,94,139,0,0.4034334763948498,4.72438152593185,0.020276315561939273
2025-12-25,2026-01-23,edge,12,,0.5,,,True,False,"reb,threes",,244,233,94,139,0,0.4034334763948498,4.72438152593185,0.020276315561939273
2025-12-25,2026-01-23,edge,12,,0.5,0.04,,True,False,"reb,threes",,244,233,94,139,0,0.4034334763948498,4.72438152593185,0.020276315561939273
2025-12-25,2026-01-23,edge,8,,,,,True,False,"pts,threes",,240,238,91,147,0,0.38235294117647056,4.548339362441983,0.019110669590092364
2025-12-25,2026-01-23,edge,8,,,0.02,,True,False,"pts,threes",,240,238,91,147,0,0.38235294117647056,4.548339362441983,0.019110669590092364
2025-12-25,2026-01-23,edge,8,,,0.04,,True,False,"pts,threes",,240,238,91,147,0,0.38235294117647056,4.548339362441983,0.019110669590092364
2025-12-25,2026-01-23,ev,12,,0.5,0.04,,True,False,"pts,reb,threes",,304,296,104,192,0,0.35135135135135137,4.304579439252334,0.01454249810558221
2025-12-25,2026-01-23,ev,12,,0.5,0.02,,True,False,"pts,reb,threes",,304,296,104,192,0,0.35135135135135137,4.304579439252334,0.01454249810558221
2025-12-25,2026-01-23,ev,12,,0.5,,,True,False,"pts,reb,threes",,304,296,104,192,0,0.35135135135135137,4.304579439252334,0.01454249810558221
2025-12-25,2026-01-23,ev,12,,,0.02,,True,False,"pts,reb,threes",,360,352,127,225,0,0.36079545454545453,4.124579439252335,0.011717555225148679
2025-12-25,2026-01-23,ev,12,,,0.04,,True,False,"pts,reb,threes",,360,352,127,225,0,0.36079545454545453,4.124579439252335,0.011717555225148679
2025-12-25,2026-01-23,ev,12,,,,,True,False,"pts,reb,threes",,360,352,127,225,0,0.36079545454545453,4.124579439252335,0.011717555225148679
2025-12-25,2026-01-23,edge,5,,,,,True,False,threes,,150,149,58,91,0,0.38926174496644295,3.7495969969140464,0.025165080516201654
2025-12-25,2026-01-23,edge,5,,,0.02,,True,False,threes,,150,149,58,91,0,0.38926174496644295,3.7495969969140464,0.025165080516201654
2025-12-25,2026-01-23,edge,5,,,0.04,,True,False,threes,,150,149,58,91,0,0.38926174496644295,3.7495969969140464,0.025165080516201654
2025-12-25,2026-01-23,ev,12,,0.5,0.04,,True,False,"reb,threes",,244,234,88,146,0,0.37606837606837606,3.3193846340575326,0.014185404419049285
2025-12-25,2026-01-23,ev,12,,0.5,0.02,,True,False,"reb,threes",,244,234,88,146,0,0.37606837606837606,3.3193846340575326,0.014185404419049285
2025-12-25,2026-01-23,ev,12,,0.5,,,True,False,"reb,threes",,244,234,88,146,0,0.37606837606837606,3.3193846340575326,0.014185404419049285
2025-12-25,2026-01-23,ev,12,,,0.04,,True,False,"reb,threes",,360,350,132,218,0,0.37714285714285717,2.709384634057524,0.007741098954450068
2025-12-25,2026-01-23,ev,12,,,0.02,,True,False,"reb,threes",,360,350,132,218,0,0.37714285714285717,2.709384634057524,0.007741098954450068
2025-12-25,2026-01-23,ev,12,,,,,True,False,"reb,threes",,360,350,132,218,0,0.37714285714285717,2.709384634057524,0.007741098954450068
2025-12-25,2026-01-23,ev,5,,0.5,0.04,,True,False,"pts,reb,threes",,137,134,46,88,0,0.34328358208955223,2.4099999999999984,0.01798507462686566
2025-12-25,2026-01-23,ev,5,,0.5,,,True,False,"pts,reb,threes",,137,134,46,88,0,0.34328358208955223,2.4099999999999984,0.01798507462686566
2025-12-25,2026-01-23,ev,5,,0.5,0.02,,True,False,"pts,reb,threes",,137,134,46,88,0,0.34328358208955223,2.4099999999999984,0.01798507462686566
2025-12-25,2026-01-23,ev,8,,0.5,0.02,,True,False,"reb,threes",,189,183,66,117,0,0.36065573770491804,1.9545794392523348,0.010680761963127512
2025-12-25,2026-01-23,ev,8,,0.5,,,True,False,"reb,threes",,189,183,66,117,0,0.36065573770491804,1.9545794392523348,0.010680761963127512
2025-12-25,2026-01-23,ev,8,,0.5,0.04,,True,False,"reb,threes",,189,183,66,117,0,0.36065573770491804,1.9545794392523348,0.010680761963127512
2025-12-25,2026-01-23,edge,12,,,0.02,,True,False,"reb,threes",,360,349,140,209,0,0.40114613180515757,1.909088090733988,0.005470166449094521
2025-12-25,2026-01-23,edge,12,,,,,True,False,"reb,threes",,360,349,140,209,0,0.40114613180515757,1.909088090733988,0.005470166449094521
2025-12-25,2026-01-23,edge,12,,,0.04,,True,False,"reb,threes",,360,349,140,209,0,0.40114613180515757,1.909088090733988,0.005470166449094521
2025-12-25,2026-01-23,ev,5,,,0.02,,True,False,"pts,reb,threes",,150,147,51,96,0,0.3469387755102041,1.8600000000000012,0.012653061224489804
2025-12-25,2026-01-23,ev,5,,,,,True,False,"pts,reb,threes",,150,147,51,96,0,0.3469387755102041,1.8600000000000012,0.012653061224489804
2025-12-25,2026-01-23,ev,5,,,0.04,,True,False,"pts,reb,threes",,150,147,51,96,0,0.3469387755102041,1.8600000000000012,0.012653061224489804
2025-12-25,2026-01-23,ev,5,,,0.02,,True,False,"pts,threes",,150,148,51,97,0,0.34459459459459457,1.7799999999999994,0.012027027027027022
2025-12-25,2026-01-23,ev,5,,,0.04,,True,False,"pts,threes",,150,148,51,97,0,0.34459459459459457,1.7799999999999994,0.012027027027027022
2025-12-25,2026-01-23,ev,5,,,,,True,False,"pts,threes",,150,148,51,97,0,0.34459459459459457,1.7799999999999994,0.012027027027027022
